metric,BreakDown,LIME,SHAP
AvgSensitivity,0.4332299584977196,0.8126414045586704,0.44455086529077315
Completeness,0.0,0.0,0.0
Complexity,1.3186025134044734,1.2106816126910513,1.084831107504354
Consistency,0.9999999998571428,0.9999999998571428,0.9999999998571428
Faithfulness,-0.34592752956704576,-0.5555435962154818,0.3802234437888047
FaithfulnessEstimate,0.6414614029985658,0.13565585103162983,-0.38411656946920114
LocalLipschitzEstimate,3.0626976957100043,6.134472970269018,2.119434729422832
MaxSensitivity,1.510790938578746,2.3708652548628413,1.1266708670449328
Monotonicity,1.0,1.0,1.0
MonotonicityCorrelation,0.7357142857142858,0.6857142857142857,0.9071428571428573
MonotonicityMetric,0.0,0.0,0.0
NonSensitivity,0.25,1.25,0.25
RelativeInputStability,0.8414094089255535,0.21377956343825347,24.346221339916223
RelativeOutputStability,13391.112125125952,3321094.216475588,3842081874.4359546
SensitivityN,0.9715834096808075,-0.9281114759462452,0.15254767076951953
Sparseness,0.47484030180402514,0.5385230415861901,0.6138805918541028
Sufficiency,0.875,0.75,0.875
