metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.9981842875133276, 0.9975302734320345, 0.9442922642483741, 0.998777270370316, 0.9974693481874497, 0.996791382382408, 0.9311487575353381, 0.999033306396196]",8.0,0.9829033612581806,0.026301165165236444,0.9311487575353381,0.999033306396196
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
FaithfulnessEstimate,local,aggregate,,,"[-0.047096515603654986, -0.5609428701212902, -0.15713584563396152, 0.0416797212247047, -0.3417539683764045, -0.40004739047074217, 0.13799293153234105, -0.18950222921348012]",8.0,-0.18960077083281096,0.22008608361742657,-0.5609428701212902,0.13799293153234105
LocalLipschitzEstimate,local,aggregate,,,"[13.18764088835319, 12.278161824832223, 12.484185805695622, 18.913110378193362, 20.096343669967514, 9.645277414237645, 27.56400002398255, 14.521013254427013]",8.0,16.08621665746114,5.427075261546833,9.645277414237645,27.56400002398255
MaxSensitivity,local,aggregate,,,"[1.4260279787824413, 1.4967979546941996, 1.6974222935206746, 1.4782480747032631, 1.4193017106927521, 0.9154715422559957, 1.5346083101503156, 1.54732002394496]",8.0,1.4393997360930753,0.214235366178425,0.9154715422559957,1.6974222935206746
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.6, 0.08571428571428573, 0.8285714285714287, -0.2571428571428572, 0.028571428571428574, -0.5428571428571429, 0.4285714285714286, -0.028571428571428574]",8.0,0.14285714285714288,0.4237827706911808,-0.5428571428571429,0.8285714285714287
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 0, 2]",8.0,1.0,0.5,0.0,2.0
RelativeInputStability,local,aggregate,,,"[0.00010609014907624077, 0.00013678710955463297, 0.0004391709287525423, 0.00015376332146867455, 0.0001524542739069672, nan, 0.6241970240947969, 0.00010552165784181411]",7.0,0.08932725879077111,0.21835969395358054,0.00010552165784181411,0.6241970240947969
RelativeOutputStability,local,aggregate,,,"[19.402652183268223, 20.67208395839751, 28.75644800235814, 47.26663339717019, 61.23577949810798, nan, 11.630189976112732, 17.487632237214807]",7.0,29.493059893232793,16.76254804687888,11.630189976112732,61.23577949810798
SensitivityN,local,aggregate,,,[0.36321607409665785],1.0,0.36321607409665785,0.0,0.36321607409665785,0.36321607409665785
Sparseness,local,aggregate,,,"[0.04380418449799349, 0.05097163975313291, 0.16699827023883543, 0.036438612640829295, 0.04564844318364455, 0.0587899966707008, 0.1815848369346322, 0.03188901236465687]",8.0,0.07701562453555319,0.05680213926385183,0.03188901236465687,0.1815848369346322
Sufficiency,local,aggregate,,,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]",8.0,0.75,0.4330127018922193,0.0,1.0
