metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,aggregate,,,"[0.3308423851403678, 0.35217965488476277, 0.3571637922343843, 0.39978224445417576, 0.3873319473577207, 0.43542228561700613, 0.35568864844415365, 0.3473438448886532]",8.0,0.370719350377653,0.032009924434996534,0.3308423851403678,0.43542228561700613
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.7060178216272676, 0.7267515060159658, 0.7421141624815769, 0.7379863789131519, 0.7379299826314959, 0.7448369162137588, 0.7401839019045389, 0.7515879296380051]",8.0,0.7359260749282202,0.013076960332623025,0.7060178216272676,0.7515879296380051
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
Faithfulness,local,aggregate,,,"[-0.5564822927642346, -0.17698232847212625, -0.3756981430829559, -0.2941889431857588, -0.32811613172608933, -0.8537231408001716, -0.11341363506999358, -0.06881562143503572]",8.0,-0.34592752956704576,0.24121212383276291,-0.8537231408001716,-0.06881562143503572
FaithfulnessEstimate,local,aggregate,,,"[-0.5047513300608502, 0.3647301034121396, -0.9650662119150983, -0.8582075337941819, -0.8296608118637288, -0.2789883093110609, -0.8114692181488457, -0.780545944655436]",8.0,-0.5829949070421327,0.41390159278410127,-0.9650662119150983,0.3647301034121396
LocalLipschitzEstimate,local,aggregate,,,"[0.8534727034501672, 0.750388853233207, 1.1871632932305591, 1.322571970290738, 1.371149962775388, 2.589470233994387, 2.240785797453531, 1.7673477574661325]",8.0,1.5102938214867638,0.6054131202397163,0.750388853233207,2.589470233994387
MaxSensitivity,local,aggregate,,,"[0.5626441064416112, 1.2093221819252071, 1.8908302114764213, 1.226085226708353, 1.1080647773518824, 0.7795499028243713, 1.3456718323104626, 1.3254624358668075]",8.0,1.1809538343631396,0.3714037024901918,0.5626441064416112,1.8908302114764213
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.8285714285714287, 0.8285714285714287, 0.8285714285714287, 0.8285714285714287, 0.8285714285714287, 0.942857142857143, 0.942857142857143, 0.942857142857143]",8.0,0.8714285714285716,0.05532833351724878,0.8285714285714287,0.942857142857143
MonotonicityMetric,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
NonSensitivity,local,aggregate,,,"[0, 0, 0, 0, 0, 0, 2, 0]",8.0,0.25,0.6614378277661477,0.0,2.0
RelativeInputStability,local,aggregate,,,"[0.00026928523322668175, 0.00041584274620954894, 0.00016982317166224764, 0.0002785221779264458, 0.0002068987625514493, nan, 3.384250551918475, 0.00011208969385788833]",7.0,0.4836718591005585,1.1841562960537049,0.00011208969385788833,3.384250551918475
RelativeOutputStability,local,aggregate,,,"[2437.4660999745083, 20323.09327945345, 1197.9921357228739, 5994.011930171209, 3236.734838510577, nan, 2792.276791949055, 3222.998931611762]",7.0,5600.653429627635,6157.718477644101,1197.9921357228739,20323.09327945345
SensitivityN,local,aggregate,,,[0.5721155921307562],1.0,0.5721155921307562,0.0,0.5721155921307562,0.5721155921307562
Sparseness,local,aggregate,,,"[0.5189238549740857, 0.48886485185512785, 0.46447178752757057, 0.4600410016271372, 0.46084460655106485, 0.48318822466076355, 0.4641433344408486, 0.4582489095317456]",8.0,0.474840821396043,0.019754239247683086,0.4582489095317456,0.5189238549740857
Sufficiency,local,aggregate,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",8.0,0.875,0.33071891388307384,0.0,1.0
