metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,aggregate,,,"[0.5913048443593002, 0.5632873208262109, 1.0316318132653168, 0.9418436975944904, 0.9431004229132588, 0.267936375913678, 1.2514117923945647, 1.1350161044036446]",8.0,0.8406915464588081,0.3121880250634627,0.267936375913678,1.2514117923945647
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.604098531784508, 0.5887529602103476, 0.7635602464348151, 0.7026194048654869, 0.7072699774324579, 0.4757871598174074, 0.7455881025041159, 0.8169733311978329]",8.0,0.6755812142808715,0.10424420276724895,0.4757871598174074,0.8169733311978329
Consistency,local,aggregate,,,"[0.1428571428367347, 0.1428571428367347, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735]",8.0,0.5714285713469388,0.24743582961734878,0.1428571428367347,0.7142857141836735
Faithfulness,local,aggregate,,,"[-0.8032145012231352, -0.2289255374411281, 0.2874776978034138, 0.3621820757637351, 0.41662195321302165, nan, -0.13516337162550185, -0.3097168902507154]",7.0,-0.058676939108615725,0.409711811287503,-0.8032145012231352,0.41662195321302165
FaithfulnessEstimate,local,aggregate,,,"[-0.632047167384048, -0.44494655268518685, -0.5613868635640321, -0.05754681303581341, 0.4504757739515237, 0.0, -0.10712553376681092, 0.0017491719703064956]",8.0,-0.16885349806425765,0.3358279386184633,-0.632047167384048,0.4504757739515237
LocalLipschitzEstimate,local,aggregate,,,"[1.8901701731371525, 2.5835015978314817, 2.316912827984584, 2.2747729228653175, 3.3822526025341193, 2.4367048110554745, 2.4989859101555325, 3.595742135408597]",8.0,2.6223803726215325,0.5392500845953909,1.8901701731371525,3.595742135408597
MaxSensitivity,local,aggregate,,,"[2.3518493445865274, 2.4552454025079973, 2.758629683213942, 2.761289190156212, 2.7371109770808038, 0.7042174007554922, 2.7679324210932377, 2.9524750669192557]",8.0,2.4360936857891833,0.6786032563580409,0.7042174007554922,2.9524750669192557
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.2, 0.3714285714285715, 0.2571428571428572, 0.2571428571428572, 0.08571428571428573, 0.0, 0.08571428571428573, 0.2]",8.0,0.18214285714285716,0.1115178213999714,0.0,0.3714285714285715
MonotonicityMetric,local,aggregate,,,"[False, False, False, False, False, True, False, False]",8.0,0.125,0.33071891388307384,0.0,1.0
NonSensitivity,local,aggregate,,,"[0, 0, 1, 1, 1, 6, 1, 1]",8.0,1.375,1.79843682124227,0.0,6.0
RelativeInputStability,local,aggregate,,,"[nan, nan, 0.0010496678381294547, 0.00045350793325590037, 0.000515883212269139, 4.8588561353488605e-05, 17.230735466647666, 0.0004164902768346206]",6.0,2.8722032674115847,6.421330817608911,4.8588561353488605e-05,17.230735466647666
RelativeOutputStability,local,aggregate,,,"[nan, nan, 290.69123993562505, 471.9736193352293, 739.1848937222669, 2931094.5976109933, 19312.259138175847, 11384.055765624456]",6.0,493882.12704463117,1089977.1879411875,290.69123993562505,2931094.5976109933
SensitivityN,local,aggregate,,,[0.24581191079879],1.0,0.24581191079879,0.0,0.24581191079879,0.24581191079879
Sparseness,local,aggregate,,,"[0.6122322507212142, 0.6113716047127197, 0.47913952640702234, 0.5284351816906657, 0.5246419605507529, 0.6922900563302506, 0.5067460900904218, 0.43351819096252003]",8.0,0.548546857683196,0.07861065837000118,0.43351819096252003,0.6922900563302506
Sufficiency,local,aggregate,,,"[0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 0.6666666666666666, 0.6666666666666666]",8.0,0.4583333333333333,0.27322660517925,0.0,0.6666666666666666
