metric,BreakDown,LIME,SHAP
AvgSensitivity,,1.017670413176859,0.3262122731269098
Completeness,,0.0,0.0
Complexity,1.7843712177482334,1.7611264048704285,1.7761591355282125
Consistency,,0.9999999998571428,0.9999999998571428
Faithfulness,0.6269927802689399,-0.8129475916877011,-0.11538801643371949
FaithfulnessEstimate,,0.41475538060062833,0.02223976050754009
LocalLipschitzEstimate,,24.6296536614389,4.8229051010683515
MaxSensitivity,,1.6930477795256933,0.5224906410716821
Monotonicity,,1.0,1.0
MonotonicityCorrelation,,0.057142857142857106,-0.4
MonotonicityMetric,0.0,0.0,0.0
NonSensitivity,,1.0,1.0
RelativeInputStability,,0.13226864997546237,0.03703597534660146
RelativeOutputStability,,71.25613452068895,92.47558024838371
SensitivityN,,0.09858780762323938,-0.7244776200657321
Sparseness,0.05576969941595032,0.07701581766302583,0.08318553119421815
Sufficiency,,0.75,1.0
