metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.5816139028125341, 0.7067797564188982, 0.6360980640082747, 0.7244155268487465, 0.7632772174865345, 0.6142159338485138, 0.7298632665515776, 0.6492905193295554]",8.0,0.6756942734130793,0.06004252669685933,0.5816139028125341,0.7632772174865345
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
FaithfulnessEstimate,local,aggregate,,,"[0.043712262534212364, -0.8890597721156629, -0.6162517949279132, -0.3299512200508951, -0.2312740596456683, 0.5413843965719349, -0.6922449552639018, -0.34385907937248844]",8.0,-0.3146930277837978,0.4231940170951518,-0.8890597721156629,0.5413843965719349
LocalLipschitzEstimate,local,aggregate,,,"[6.928056187715553, 6.665203391848566, 3.687715907988455, 2.4309200248639224, 2.096779234251835, 1.353908303398127, 4.973854978262282, 3.754202870298796]",8.0,3.9863301123284423,1.9322176653996994,1.353908303398127,6.928056187715553
MaxSensitivity,local,aggregate,,,"[3.9138620689698294, 3.6781726159727506, 2.745630053255085, 1.0739913972488964, 2.638381923647838, 0.2807410687903807, 0.9481981677040954, 0.9763370436652287]",8.0,2.0319142924067632,1.294314247769227,0.2807410687903807,3.9138620689698294
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.7714285714285715, 0.7714285714285715, 0.3714285714285715, 0.6571428571428573, 0.3714285714285715, 0.942857142857143, 0.48571428571428577, 0.6]",8.0,0.6214285714285714,0.19152982396845603,0.3714285714285715,0.942857142857143
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 3, 1]",8.0,1.25,0.6614378277661477,1.0,3.0
RelativeInputStability,local,aggregate,,,"[0.007635034952664714, 0.0002997659563638604, 0.0017155685228458456, 0.0007166286680216558, 0.0001746426625713915, nan, 1.1024531995522615, 0.0009017123933785046]",7.0,0.15912807895830108,0.38511844607451895,0.0001746426625713915,1.1024531995522615
RelativeOutputStability,local,aggregate,,,"[43404.61735253936, 1350.6036297765716, 10478.540235650182, 10558.796913157845, 3709.5598171992865, nan, 5704.638709388045, 75509.63218927135]",7.0,21530.912692426093,25662.701717327105,1350.6036297765716,75509.63218927135
SensitivityN,local,aggregate,,,[0.7639946633510603],1.0,0.7639946633510603,0.0,0.7639946633510603,0.7639946633510603
Sparseness,local,aggregate,,,"[0.625607985497491, 0.5473998500938883, 0.5519762185367472, 0.4875364775774908, 0.4665446778209272, 0.6077540423141778, 0.4909837143710802, 0.5303564069583019]",8.0,0.5385199216462631,0.05331943905867566,0.4665446778209272,0.625607985497491
Sufficiency,local,aggregate,,,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",8.0,0.75,0.4330127018922193,0.0,1.0
