metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,aggregate,,,"[0.7153524082850027, 0.7199703669067614, 0.6697721420634151, 0.6426402526136651, 0.6571157855153984, 0.5197070852795862, 0.622922394681505, 0.6491384204863689]",8.0,0.6495773569789628,0.05849282118237017,0.5197070852795862,0.7199703669067614
Complexity,local,aggregate,,,"[1.780952595024269, 1.7803094996344961, 1.789309268347865, 1.7903672831975133, 1.7901662395444002, 1.7478824769727663, 1.7834246764004003, 1.7730639000035913]",8.0,1.7794344923906626,0.013168681967128124,1.7478824769727663,1.7903672831975133
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
FaithfulnessEstimate,local,aggregate,,,"[-0.936054113078512, -0.9224095579220187, -0.029929635101370533, 0.18633557303614873, -0.09085020984106235, 0.06070671150148319, -0.6754267345989187, -0.4287096054450948]",8.0,-0.35454219643116813,0.41967015867412844,-0.936054113078512,0.18633557303614873
LocalLipschitzEstimate,local,aggregate,,,"[1.45756990833772, 2.0485069651465713, 1.0538367352293783, 1.133114948920555, 1.0073194419398526, 0.5568919352210655, 0.930726544703179, 0.8346383274255237]",8.0,1.1278256008654806,0.42237152076670104,0.5568919352210655,2.0485069651465713
MaxSensitivity,local,aggregate,,,"[0.7588302561488817, 0.7629553860284413, 0.7355895973323809, 0.730687250540368, 0.7209685198901239, 0.620217926232316, 0.6825733761015391, 0.7025688087638768]",8.0,0.7142988901297409,0.043462892939006986,0.620217926232316,0.7629553860284413
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[-0.028571428571428574, -0.08571428571428573, -0.14285714285714288, -0.08571428571428573, -0.5428571428571429, -0.028571428571428574, 0.08571428571428573, -0.17393131069573456]",8.0,-0.1253128424083954,0.17442804507326476,-0.5428571428571429,0.08571428571428573
RelativeInputStability,local,aggregate,,,"[9.099493461608245e-05, 7.67457377963504e-05, 0.00018945542829404313, 7.60646520043645e-05, 3.15441881951424e-05, nan, 0.6034079955437013, 5.288161748461907e-05]",7.0,0.08627509744315598,0.21111862665842068,3.15441881951424e-05,0.6034079955437013
RelativeOutputStability,local,aggregate,,,"[25.059724628676804, 11.80833703625861, 20.743308861541806, 31.215136963085854, 48.45227022262844, nan, 5.316923196138134, 11.548481055848274]",7.0,22.02059742345399,13.55943983605539,5.316923196138134,48.45227022262844
SensitivityN,global,aggregate,,,[nan],0.0,,,,
Sparseness,local,aggregate,,,"[0.07105727890514225, 0.07132609584929793, 0.035534550967175074, 0.028333299333374015, 0.03082785044218011, 0.1612742252023479, 0.07304955213532366, 0.10785010087184889]",8.0,0.07240661921333623,0.0421127865878666,0.028333299333374015,0.1612742252023479
Sufficiency,local,aggregate,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",8.0,1.0,0.0,1.0,1.0
